City,State,Zipcode,Rank,Score,Superzip,Population,College,Income,Lat,Long
New Orleans,LA,70121,10000,42.14444,0,9518,20.43497,55.08657,29.961442617373685,-90.16149550532191
New Orleans,LA,70122,9616,43.90602,0,29290,25.20655,48.41912,30.007368444653146,-90.0709590037876
New Orleans,LA,70123,4093,72.67625,0,19953,32.88729,74.805179999999993,29.94909150446166,-90.19580605207993
New Orleans,LA,70124,1661,88.84895,0,17147,50.64442999999999,87.73342,30.001881668641673,-90.12155791901941
New Orleans,LA,70125,13446,29.50513,0,13638,28.838539999999995,29.65244,29.95081924940554,-90.11071744424119
New Orleans,LA,70126,12768,31.68066,0,24453,21.71513,43.70784,30.00002081339813,-90.02700322293609
New Orleans,LA,70127,12559,32.30643,0,18541,19.61599,47.89085,30.03048506537436,-89.97244305883893
New Orleans,LA,70128,6625,57.78729,0,11878,26.351239999999997,62.41567,30.047071396670372,-89.95486598488749
New Orleans,LA,70129,17102,18.19589,0,8479,15.1315,43.86213,30.08807086462098,-89.86421126773229
New Orleans,LA,70130,7516,53.22691,0,10318,36.97422,38.29437,29.93821050561992,-90.0791178854448
New Orleans,LA,70131,3895,74.01292,0,17995,36.16005,71.56364,29.91445589525658,-89.94635910137842
Thibodaux,LA,70301,11806,35.1273,0,24059,17.25758,54.25625,29.63847474994792,-90.58229348517688
Pierre Part,LA,70339,20450,9.327718,0,4365,3.48225,54.16602,29.946667166929775,-91.18398471176008
Belle Rose,LA,70341,21742,6.13412,0,2690,5.16729,46.44072,30.03299421304807,-91.09391749069738
Berwick,LA,70342,14580,25.82814,0,2727,13.75138,52.69236,29.69403613191964,-91.26633664093285
Bourg,LA,70343,12414,32.86832,0,2807,12.0057,61.42712,29.541963404590106,-90.59880414376845
Chauvin,LA,70344,22410,4.513237,0,4363,6.0738,41.38946,29.392665016933964,-90.60094465071802
Cut Off,LA,70345,16480,19.9873,0,8223,9.30317,55.51023,29.509828574672653,-90.33879907715458
Donaldsonville,LA,70346,20717,8.717134,0,6240,9.39103,43.05534,30.16119037377668,-90.97152652411849
